iter	Passed	Remaining
0	313	313332
1	373	186173
2	436	145155
3	495	123289
4	558	111066
5	624	103378
6	682	96868
7	738	91554
8	803	88442
9	927	91811
10	1015	91295
11	1083	89225
12	1153	87558
13	1208	85135
14	1279	84042
15	1340	82450
16	1410	81548
17	1488	81226
18	1537	79383
19	1603	78564
20	1666	77704
21	1725	76701
22	1774	75357
23	1830	74434
24	1884	73513
25	1937	72578
26	1994	71868
27	2051	71210
28	2102	70392
29	2159	69812
30	2214	69217
31	2267	68584
32	2321	68021
33	2372	67394
34	2421	66773
35	2482	66477
36	2539	66097
37	2599	65817
38	2663	65623
39	2719	65261
40	2777	64954
41	2825	64457
42	2879	64091
43	2928	63627
44	2986	63382
45	3063	63531
46	3133	63534
47	3202	63508
48	3259	63258
49	3323	63141
50	3391	63113
51	3484	63528
52	3577	63924
53	3638	63732
54	3693	63452
55	3757	63340
56	3826	63309
57	3877	62978
58	3944	62905
59	4000	62671
60	4106	63208
61	4349	65796
62	4518	67206
63	4605	67354
64	4739	68182
65	4870	68923
66	5007	69727
67	5152	70626
68	5463	73715
69	5704	75787
70	5964	78042
71	6089	78487
72	6276	79706
73	6408	80196
74	6495	80113
75	6597	80211
76	6671	79976
77	6720	79438
78	6773	78962
79	6822	78462
80	6869	77940
81	6919	77460
82	6974	77057
83	7016	76515
84	7067	76080
85	7118	75651
86	7172	75272
87	7228	74911
88	7276	74485
89	7334	74157
90	7384	73759
91	7432	73358
92	7483	72988
93	7528	72563
94	7584	72247
95	7637	71918
96	7689	71583
97	7747	71306
98	7806	71049
99	7865	70787
100	7918	70479
101	7967	70148
102	8023	69872
103	8070	69529
104	8134	69337
105	8190	69081
106	8238	68759
107	8294	68504
108	8357	68313
109	8408	68032
110	8471	67852
111	8518	67540
112	8579	67345
113	8641	67158
114	8705	66994
115	8773	66862
116	8830	66645
117	8884	66406
118	8944	66219
119	8999	65994
120	9056	65793
121	9111	65571
122	9161	65319
123	9215	65100
124	9264	64848
125	9306	64555
126	9362	64358
127	9417	64158
128	9477	63989
129	9532	63796
130	9597	63664
131	9660	63526
132	9720	63368
133	9785	63241
134	9833	63010
135	9890	62834
136	9939	62612
137	9994	62432
138	10041	62202
139	10093	62004
140	10154	61863
141	10238	61865
142	10311	61793
143	10373	61665
144	10428	61494
145	10488	61347
146	10541	61168
147	10597	61006
148	10675	60970
149	10740	60861
150	10802	60740
151	10885	60727
152	10968	60718
153	11041	60658
154	11090	60461
155	11146	60307
156	11205	60165
157	11272	60074
158	11364	60109
159	11480	60271
160	11673	60832
161	11833	61210
162	11915	61185
163	12003	61189
164	12081	61137
165	12171	61148
166	12238	61048
167	12321	61019
168	12372	60837
169	12434	60711
170	12507	60634
171	12575	60536
172	12687	60649
173	12856	61031
174	13045	61500
175	13166	61643
176	13284	61767
177	13410	61930
178	13534	62077
179	13620	62048
180	13722	62093
181	13847	62236
182	13931	62195
183	14031	62224
184	14122	62213
185	14200	62146
186	14271	62046
187	14354	62001
188	14448	61999
189	14538	61981
190	14651	62057
191	14797	62272
192	14944	62487
193	15052	62538
194	15128	62454
195	15210	62394
196	15335	62510
197	15519	62861
198	15650	62995
199	15769	63077
200	15914	63260
201	16049	63403
202	16199	63599
203	16362	63845
204	16475	63893
205	16564	63845
206	16681	63906
207	16771	63860
208	16856	63798
209	16940	63729
210	17159	64165
211	17389	64638
212	17607	65056
213	17742	65164
214	17846	65161
215	17946	65140
216	18044	65111
217	18166	65167
218	18257	65110
219	18345	65044
220	18444	65013
221	18523	64915
222	18608	64838
223	18681	64717
224	18766	64640
225	18870	64626
226	19057	64894
227	19255	65198
228	19337	65105
229	19408	64976
230	19511	64955
231	19590	64852
232	19688	64812
233	19752	64660
234	19836	64573
235	19915	64473
236	19989	64354
237	20079	64286
238	20168	64218
239	20236	64081
240	20293	63911
241	20353	63751
242	20418	63607
243	20470	63424
244	20523	63245
245	20575	63065
246	20627	62883
247	20679	62705
248	20733	62533
249	20780	62340
250	20832	62164
251	20914	62080
252	20997	61997
253	21063	61863
254	21125	61719
255	21188	61579
256	21259	61461
257	21324	61328
258	21392	61205
259	21476	61124
260	21554	61029
261	21644	60968
262	21731	60898
263	21825	60847
264	21879	60684
265	21940	60542
266	21992	60376
267	22037	60192
268	22089	60027
269	22134	59844
270	22188	59688
271	22239	59522
272	22294	59371
273	22347	59212
274	22394	59038
275	22448	58885
276	22497	58721
277	22551	58568
278	22606	58419
279	22650	58245
280	22701	58087
281	22754	57935
282	22804	57776
283	22849	57607
284	22897	57443
285	22941	57274
286	22982	57095
287	23034	56946
288	23088	56802
289	23139	56651
290	23189	56500
291	23242	56353
292	23289	56196
293	23349	56070
294	23397	55916
295	23446	55764
296	23494	55612
297	23553	55486
298	23603	55337
299	23654	55193
300	23703	55046
301	23764	54926
302	23811	54774
303	23866	54641
304	23914	54494
305	23963	54348
306	24010	54198
307	24060	54057
308	24110	53918
309	24152	53758
310	24205	53625
311	24276	53531
312	24331	53404
313	24400	53308
314	24447	53164
315	24485	53000
316	24541	52876
317	24601	52761
318	24656	52635
319	24705	52499
320	24745	52343
321	24796	52211
322	24843	52071
323	24890	51931
324	24931	51780
325	24977	51641
326	25025	51504
327	25064	51352
328	25115	51222
329	25179	51121
330	25247	51028
331	25337	50980
332	25410	50898
333	25490	50827
334	25561	50742
335	25641	50671
336	25725	50610
337	25790	50512
338	25861	50425
339	25917	50310
340	25980	50208
341	26050	50119
342	26118	50029
343	26174	49914
344	26249	49836
345	26310	49731
346	26371	49626
347	26433	49524
348	26503	49437
349	26567	49340
350	26611	49204
351	26670	49098
352	26722	48978
353	26787	48883
354	26840	48766
355	26896	48655
356	26946	48534
357	26992	48404
358	27042	48284
359	27082	48146
360	27119	48003
361	27161	47870
362	27207	47744
363	27251	47615
364	27302	47499
365	27348	47374
366	27396	47253
367	27438	47123
368	27491	47011
369	27543	46898
370	27586	46771
371	27637	46657
372	27683	46534
373	27738	46428
374	27783	46305
375	27830	46187
376	27878	46069
377	27929	45958
378	27970	45830
379	28025	45726
380	28072	45609
381	28119	45491
382	28171	45382
383	28211	45256
384	28260	45143
385	28300	45017
386	28345	44899
387	28394	44786
388	28447	44682
389	28493	44566
390	28540	44452
391	28587	44340
392	28633	44225
393	28687	44123
394	28744	44026
395	28790	43913
396	28842	43808
397	28889	43697
398	28940	43592
399	28979	43469
400	29027	43360
401	29083	43264
402	29133	43158
403	29177	43043
404	29227	42939
405	29278	42835
406	29336	42742
407	29386	42639
408	29433	42531
409	29482	42426
410	29526	42314
411	29582	42219
412	29629	42112
413	29679	42009
414	29739	41922
415	29788	41818
416	29837	41714
417	29882	41607
418	29930	41502
419	29981	41403
420	30028	41298
421	30073	41190
422	30121	41087
423	30179	40998
424	30217	40882
425	30267	40783
426	30316	40681
427	30366	40583
428	30416	40483
429	30466	40385
430	30513	40283
431	30566	40189
432	30609	40082
433	30653	39977
434	30713	39891
435	30754	39783
436	30797	39676
437	30834	39564
438	30884	39467
439	30926	39360
440	30963	39248
441	31020	39162
442	31061	39055
443	31111	38959
444	31162	38865
445	31212	38770
446	31247	38657
447	31300	38566
448	31350	38472
449	31402	38380
450	31445	38278
451	31495	38184
452	31546	38092
453	31603	38008
454	31653	37915
455	31706	37825
456	31754	37730
457	31796	37627
458	31859	37551
459	31908	37458
460	31957	37364
461	32004	37269
462	32047	37169
463	32099	37080
464	32140	36978
465	32188	36885
466	32238	36794
467	32278	36693
468	32327	36600
469	32377	36510
470	32422	36414
471	32473	36326
472	32514	36226
473	32562	36134
474	32608	36040
475	32655	35948
476	32702	35856
477	32749	35764
478	32792	35668
479	32837	35574
480	32883	35481
481	32921	35380
482	32972	35293
483	33013	35196
484	33052	35096
485	33109	35017
486	33158	34928
487	33201	34834
488	33251	34747
489	33295	34654
490	33335	34557
491	33377	34462
492	33428	34377
493	33466	34279
494	33517	34194
495	33564	34105
496	33597	34002
497	33647	33917
498	33690	33825
499	33739	33739
500	33781	33646
501	33825	33556
502	33876	33472
503	33918	33379
504	33972	33300
505	34024	33217
506	34077	33136
507	34117	33042
508	34165	32957
509	34208	32867
510	34264	32788
511	34311	32703
512	34363	32621
513	34415	32540
514	34468	32460
515	34514	32374
516	34560	32287
517	34607	32202
518	34660	32122
519	34708	32038
520	34748	31947
521	34798	31865
522	34843	31778
523	34886	31691
524	34932	31605
525	34975	31518
526	35022	31433
527	35055	31337
528	35097	31249
529	35140	31162
530	35193	31084
531	35244	31004
532	35274	30906
533	35310	30814
534	35354	30728
535	35389	30635
536	35435	30552
537	35468	30457
538	35506	30367
539	35552	30285
540	35601	30205
541	35663	30136
542	35732	30072
543	35788	29999
544	35841	29922
545	35890	29842
546	35943	29766
547	35992	29687
548	36050	29615
549	36106	29541
550	36166	29471
551	36223	29398
552	36282	29328
553	36338	29254
554	36396	29183
555	36453	29110
556	36506	29034
557	36546	28949
558	36597	28872
559	36639	28787
560	36699	28718
561	36748	28640
562	36797	28562
563	36846	28483
564	36891	28403
565	36942	28326
566	36997	28253
567	37044	28174
568	37085	28090
569	37135	28014
570	37178	27932
571	37220	27850
572	37259	27766
573	37311	27690
574	37358	27612
575	37410	27538
576	37460	27462
577	37506	27383
578	37551	27304
579	37591	27221
580	37637	27142
581	37691	27070
582	37732	26989
583	37792	26920
584	37850	26851
585	37892	26770
586	37933	26689
587	37983	26614
588	38033	26539
589	38094	26472
590	38143	26397
591	38191	26321
592	38233	26241
593	38271	26158
594	38312	26078
595	38356	26000
596	38409	25928
597	38453	25850
598	38491	25767
599	38527	25685
600	38577	25611
601	38625	25536
602	38673	25461
603	38716	25383
604	38789	25325
605	38869	25271
606	38940	25212
607	39023	25160
608	39111	25111
609	39172	25044
610	39227	24974
611	39285	24906
612	39367	24853
613	39438	24793
614	39513	24736
615	39588	24678
616	39659	24618
617	39723	24554
618	39774	24481
619	39835	24415
620	39914	24360
621	39973	24292
622	40055	24238
623	40119	24174
624	40198	24118
625	40250	24047
626	40318	23985
627	40397	23929
628	40474	23873
629	40595	23841
630	40694	23797
631	40759	23733
632	40838	23677
633	40904	23613
634	40990	23561
635	41069	23505
636	41165	23458
637	41225	23391
638	41276	23319
639	41348	23258
640	41402	23188
641	41459	23119
642	41524	23055
643	41564	22976
644	41625	22910
645	41686	22843
646	41738	22772
647	41790	22700
648	41851	22634
649	41921	22572
650	41964	22497
651	42022	22428
652	42072	22356
653	42123	22285
654	42173	22213
655	42224	22141
656	42270	22068
657	42327	22000
658	42387	21933
659	42476	21881
660	42607	21851
661	42712	21807
662	42812	21761
663	42893	21704
664	42969	21646
665	43039	21584
666	43121	21528
667	43203	21472
668	43272	21409
669	43346	21349
670	43417	21288
671	43487	21226
672	43556	21163
673	43650	21112
674	43734	21057
675	43800	20993
676	43851	20921
677	43912	20855
678	43968	20786
679	44032	20721
680	44075	20646
681	44120	20572
682	44171	20501
683	44221	20429
684	44261	20353
685	44310	20282
686	44359	20210
687	44410	20139
688	44450	20064
689	44493	19989
690	44543	19919
691	44585	19844
692	44636	19774
693	44753	19733
694	44865	19689
695	44926	19623
696	44992	19559
697	45044	19489
698	45104	19422
699	45150	19350
700	45197	19278
701	45259	19212
702	45308	19141
703	45353	19069
704	45405	18999
705	45450	18926
706	45504	18858
707	45548	18785
708	45587	18710
709	45629	18637
710	45681	18568
711	45730	18497
712	45775	18425
713	45829	18357
714	45881	18288
715	45939	18221
716	45991	18152
717	46037	18081
718	46094	18014
719	46142	17944
720	46192	17874
721	46236	17802
722	46273	17728
723	46322	17658
724	46364	17586
725	46419	17519
726	46470	17450
727	46519	17380
728	46564	17309
729	46613	17240
730	46657	17169
731	46698	17097
732	46742	17026
733	46791	16957
734	46838	16887
735	46884	16817
736	46930	16747
737	46970	16675
738	47016	16605
739	47057	16533
740	47130	16473
741	47255	16431
742	47307	16363
743	47360	16296
744	47419	16230
745	47463	16160
746	47513	16092
747	47553	16020
748	47602	15952
749	47653	15884
750	47699	15815
751	47754	15748
752	47797	15678
753	47842	15609
754	47887	15539
755	47941	15473
756	47986	15403
757	48033	15335
758	48092	15270
759	48135	15200
760	48176	15130
761	48229	15063
762	48289	14999
763	48345	14933
764	48397	14867
765	48470	14806
766	48517	14738
767	48573	14673
768	48627	14607
769	48677	14539
770	48729	14473
771	48773	14404
772	48824	14337
773	48874	14270
774	48922	14203
775	48968	14135
776	49021	14069
777	49070	14002
778	49119	13934
779	49165	13867
780	49263	13813
781	49347	13756
782	49427	13698
783	49492	13635
784	49553	13572
785	49608	13506
786	49663	13441
787	49723	13377
788	49771	13310
789	49826	13245
790	49875	13178
791	49915	13109
792	49989	13049
793	50063	12988
794	50124	12925
795	50177	12859
796	50262	12802
797	50337	12741
798	50399	12678
799	50481	12620
800	50543	12557
801	50604	12493
802	50663	12429
803	50735	12368
804	50785	12302
805	50832	12235
806	50881	12168
807	50930	12102
808	50980	12036
809	51031	11970
810	51080	11904
811	51129	11837
812	51183	11772
813	51231	11706
814	51269	11637
815	51314	11571
816	51366	11505
817	51411	11438
818	51464	11373
819	51542	11314
820	51591	11248
821	51641	11182
822	51692	11117
823	51736	11050
824	51776	10982
825	51816	10915
826	51865	10849
827	51914	10784
828	51958	10717
829	52007	10652
830	52046	10584
831	52091	10518
832	52141	10453
833	52190	10387
834	52229	10320
835	52276	10255
836	52330	10191
837	52380	10126
838	52436	10062
839	52489	9998
840	52539	9933
841	52592	9868
842	52639	9803
843	52735	9747
844	52835	9691
845	52951	9639
846	53125	9596
847	53193	9534
848	53251	9471
849	53292	9404
850	53348	9340
851	53403	9276
852	53449	9211
853	53494	9145
854	53540	9079
855	53586	9014
856	53637	8950
857	53683	8884
858	53732	8819
859	53784	8755
860	53852	8693
861	53946	8636
862	54036	8578
863	54146	8523
864	54230	8463
865	54311	8403
866	54360	8339
867	54418	8275
868	54493	8214
869	54566	8153
870	54644	8093
871	54715	8031
872	54768	7967
873	54825	7903
874	54876	7839
875	54928	7775
876	54979	7710
877	55024	7645
878	55071	7580
879	55113	7515
880	55171	7452
881	55211	7386
882	55262	7322
883	55306	7257
884	55349	7192
885	55401	7128
886	55445	7063
887	55495	6999
888	55541	6934
889	55586	6870
890	55635	6806
891	55684	6742
892	55735	6678
893	55790	6614
894	55843	6551
895	55903	6488
896	55978	6427
897	56035	6364
898	56103	6303
899	56173	6241
900	56231	6178
901	56277	6114
902	56337	6051
903	56404	5989
904	56466	5927
905	56510	5863
906	56561	5799
907	56608	5735
908	56663	5672
909	56709	5608
910	56749	5544
911	56796	5480
912	56855	5417
913	56903	5354
914	56947	5290
915	56988	5226
916	57032	5162
917	57080	5098
918	57124	5034
919	57169	4971
920	57219	4908
921	57279	4845
922	57329	4782
923	57383	4719
924	57430	4656
925	57476	4593
926	57524	4529
927	57573	4466
928	57620	4403
929	57659	4339
930	57699	4276
931	57749	4213
932	57795	4150
933	57840	4087
934	57884	4024
935	57932	3961
936	57975	3898
937	58019	3834
938	58063	3771
939	58115	3709
940	58166	3646
941	58212	3584
942	58256	3521
943	58302	3458
944	58347	3395
945	58403	3333
946	58429	3270
947	58477	3207
948	58525	3145
949	58574	3082
950	58612	3019
951	58658	2957
952	58700	2895
953	58744	2832
954	58793	2770
955	58839	2708
956	58888	2645
957	58939	2583
958	58986	2521
959	59036	2459
960	59086	2397
961	59134	2335
962	59175	2273
963	59219	2211
964	59272	2149
965	59374	2089
966	59471	2029
967	59561	1968
968	59644	1908
969	59697	1846
970	59748	1784
971	59801	1722
972	59860	1661
973	59908	1599
974	59956	1537
975	59988	1475
976	60046	1413
977	60114	1352
978	60208	1291
979	60276	1230
980	60331	1168
981	60382	1106
982	60437	1045
983	60495	983
984	60548	922
985	60602	860
986	60650	798
987	60706	737
988	60761	675
989	60825	614
990	60913	553
991	60967	491
992	61023	430
993	61072	368
994	61123	307
995	61174	245
996	61224	184
997	61266	122
998	61330	61
999	61380	0
